sheet,year,month,raw_description,raw_total,total_numeric,detected_type,paper_type,date
apr 19,2019,4,SIAM-FLUTE,106258.0,1062580.0,FLUTE,FLUTE,2019-04-01
apr 19,2019,4,SIAM-FLUTE,139926.0,1399260.0,FLUTE,FLUTE,2019-04-01
apr 19,2019,4,SIAM-FLUTE,27616.0,276160.0,FLUTE,FLUTE,2019-04-01
apr 19,2019,4,SIAM-FLUTE,9611.0,96110.0,FLUTE,FLUTE,2019-04-01
apr 19,2019,4,SIAM-SUPER FLUTE,5321.0,53210.0,SUPER FLUTE,SUPER FLUTE,2019-04-01
apr 19,2019,4,SIAM-SUPER FLUTE,4528.0,45280.0,SUPER FLUTE,SUPER FLUTE,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),72312.0,723120.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),57644.0,576440.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),14822.0,148220.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),3578.0,35780.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),9125.0,91250.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,SAIM-TEST(KT),4520.0,45200.0,TESTLINER,TESTLINER,2019-04-01
apr 19,2019,4,IKPP-WHITE,17574.2,175742.0,WHITE TOP,WHITE TOP,2019-04-01
apr 19,2019,4,IKPP-WHITE,8706.6,87066.0,WHITE TOP,WHITE TOP,2019-04-01
apr 19,2019,4,IKPP-WHITE,11714.0,117140.0,WHITE TOP,WHITE TOP,2019-04-01
apr 19,2019,4,IKPP-WHITE,6387.5,63875.0,WHITE TOP,WHITE TOP,2019-04-01
apr 19,2019,4,KP,66596.0,665960.0,LINER,LINER,2019-04-01
apr 19,2019,4,KP,66579.0,665790.0,LINER,LINER,2019-04-01
apr 19,2019,4,KP,12977.0,129770.0,LINER,LINER,2019-04-01
apr 19,2019,4,KP,2328.0,23280.0,LINER,LINER,2019-04-01
may 19,2019,5,SIAM-FLUTE,122801.0,1228010.0,FLUTE,FLUTE,2019-05-01
may 19,2019,5,SIAM-FLUTE,122599.0,1225990.0,FLUTE,FLUTE,2019-05-01
may 19,2019,5,SIAM-FLUTE,25456.0,254560.0,FLUTE,FLUTE,2019-05-01
may 19,2019,5,SIAM-FLUTE,12790.0,127900.0,FLUTE,FLUTE,2019-05-01
may 19,2019,5,SIAM-SUPER FLUTE,7733.0,77330.0,SUPER FLUTE,SUPER FLUTE,2019-05-01
may 19,2019,5,SIAM-SUPER FLUTE,8604.0,86040.0,SUPER FLUTE,SUPER FLUTE,2019-05-01
may 19,2019,5,SAIM-TEST(KT),72820.0,728200.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,SAIM-TEST(KT),66143.0,661430.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,SAIM-TEST(KT),11578.0,115780.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,SAIM-TEST(KT),1449.0,14490.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,SAIM-TEST(KT),11605.0,116050.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,SAIM-TEST(KT),8424.0,84240.0,TESTLINER,TESTLINER,2019-05-01
may 19,2019,5,IKPP-WHITE,20584.0,205840.0,WHITE TOP,WHITE TOP,2019-05-01
may 19,2019,5,IKPP-WHITE,14189.0,141890.0,WHITE TOP,WHITE TOP,2019-05-01
may 19,2019,5,IKPP-WHITE,9083.0,90830.0,WHITE TOP,WHITE TOP,2019-05-01
may 19,2019,5,IKPP-WHITE,8513.0,85130.0,WHITE TOP,WHITE TOP,2019-05-01
may 19,2019,5,KP,61835.0,618350.0,LINER,LINER,2019-05-01
may 19,2019,5,KP,67563.0,675630.0,LINER,LINER,2019-05-01
may 19,2019,5,KP,15954.0,159540.0,LINER,LINER,2019-05-01
may 19,2019,5,KP,3750.0,37500.0,LINER,LINER,2019-05-01
june 19,2019,6,SIAM-FLUTE,78458.0,784580.0,FLUTE,FLUTE,2019-06-01
june 19,2019,6,SIAM-FLUTE,84019.0,840190.0,FLUTE,FLUTE,2019-06-01
june 19,2019,6,SIAM-FLUTE,24687.0,246870.0,FLUTE,FLUTE,2019-06-01
june 19,2019,6,SIAM-FLUTE,18087.0,180870.0,FLUTE,FLUTE,2019-06-01
june 19,2019,6,SIAM-FLUTE,12503.0,125030.0,FLUTE,FLUTE,2019-06-01
june 19,2019,6,SIAM-SUPER FLUTE,4908.0,49080.0,SUPER FLUTE,SUPER FLUTE,2019-06-01
june 19,2019,6,SIAM-SUPER FLUTE,4407.0,44070.0,SUPER FLUTE,SUPER FLUTE,2019-06-01
june 19,2019,6,SAIM-TEST(KT),52510.0,525100.0,TESTLINER,TESTLINER,2019-06-01
june 19,2019,6,SAIM-TEST(KT),41192.0,411920.0,TESTLINER,TESTLINER,2019-06-01
june 19,2019,6,SAIM-TEST(KT),19120.0,191200.0,TESTLINER,TESTLINER,2019-06-01
june 19,2019,6,SAIM-TEST(KT),14076.0,140760.0,TESTLINER,TESTLINER,2019-06-01
