paper_type,date,quantity,unit
FLUTE,2025-09-01,115133.8982310941,m
FLUTE,2025-10-01,116836.9850742871,m
FLUTE,2025-11-01,118002.46337080935,m
FLUTE,2025-12-01,114438.24191133055,m
FLUTE,2026-01-01,117771.28443449522,m
FLUTE,2026-02-01,117710.78289173299,m
FLUTE,2026-03-01,110320.10410864878,m
FLUTE,2026-04-01,112978.94407546717,m
FLUTE,2026-05-01,114803.98454751806,m
FLUTE,2026-06-01,113462.07144058238,m
FLUTE,2026-07-01,118002.46337080935,m
FLUTE,2026-08-01,118002.46337080935,m
HEAVY FLUTE,2025-09-01,12793.715038214974,m
HEAVY FLUTE,2025-10-01,12793.715038214974,m
HEAVY FLUTE,2025-11-01,12793.715038214974,m
HEAVY FLUTE,2025-12-01,12793.715038214974,m
HEAVY FLUTE,2026-01-01,12793.715038214974,m
HEAVY FLUTE,2026-02-01,12793.715038214974,m
HEAVY FLUTE,2026-03-01,12793.715038214974,m
HEAVY FLUTE,2026-04-01,12793.715038214974,m
HEAVY FLUTE,2026-05-01,12793.715038214974,m
HEAVY FLUTE,2026-06-01,12793.715038214974,m
HEAVY FLUTE,2026-07-01,12793.715038214974,m
HEAVY FLUTE,2026-08-01,12793.715038214974,m
LINER,2025-09-01,67356.23500036763,m
LINER,2025-10-01,67356.23500036763,m
LINER,2025-11-01,67356.23500036763,m
LINER,2025-12-01,67356.23500036763,m
LINER,2026-01-01,67356.23500036763,m
LINER,2026-02-01,66827.32277475868,m
LINER,2026-03-01,58281.57718867623,m
LINER,2026-04-01,58885.47069299729,m
LINER,2026-05-01,56907.41207446651,m
LINER,2026-06-01,58103.60344173968,m
LINER,2026-07-01,67356.23500036763,m
LINER,2026-08-01,67356.23500036763,m
SUPER FLUTE,2025-09-01,8100.428631831799,m
SUPER FLUTE,2025-10-01,8100.417581816269,m
SUPER FLUTE,2025-11-01,8100.406849927241,m
SUPER FLUTE,2025-12-01,8100.440000000001,m
SUPER FLUTE,2026-01-01,8100.440000000001,m
SUPER FLUTE,2026-02-01,8100.440000000001,m
SUPER FLUTE,2026-03-01,8086.924456078777,m
SUPER FLUTE,2026-04-01,8086.913031559703,m
SUPER FLUTE,2026-05-01,8086.901929194228,m
SUPER FLUTE,2026-06-01,8086.891148956104,m
SUPER FLUTE,2026-07-01,8100.440000000001,m
SUPER FLUTE,2026-08-01,8100.440000000001,m
TESTLINER,2025-09-01,131483.71483216566,m
TESTLINER,2025-10-01,131483.71483216566,m
TESTLINER,2025-11-01,131483.71483216566,m
TESTLINER,2025-12-01,130682.27625429143,m
TESTLINER,2026-01-01,131483.71483216566,m
TESTLINER,2026-02-01,130673.63433260987,m
TESTLINER,2026-03-01,118222.07293775928,m
TESTLINER,2026-04-01,117265.97296028839,m
TESTLINER,2026-05-01,117428.6795671892,m
TESTLINER,2026-06-01,122541.78646847262,m
TESTLINER,2026-07-01,131483.71483216566,m
TESTLINER,2026-08-01,131483.71483216566,m
WHITE TOP,2025-09-01,47703.36,m
WHITE TOP,2025-10-01,47703.36,m
WHITE TOP,2025-11-01,47657.491970200506,m
WHITE TOP,2025-12-01,47703.36,m
WHITE TOP,2026-01-01,47703.36,m
WHITE TOP,2026-02-01,47703.36,m
WHITE TOP,2026-03-01,44641.13303711119,m
WHITE TOP,2026-04-01,47703.36,m
WHITE TOP,2026-05-01,47703.36,m
WHITE TOP,2026-06-01,47703.36,m
WHITE TOP,2026-07-01,47703.36,m
WHITE TOP,2026-08-01,47703.36,m
